labels(n),n,keys(n)
"[""Part""]","{""hasPart_SerialNumber"":""\""lg1\"""",""name"":""part_large_gear_1"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""Part""]","{""hasPart_SerialNumber"":""\""lg2\"""",""name"":""part_large_gear_2"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""PartsTrayDesign""]","{""name"":""part_large_gear_vessel_design"",""type"":""individual""}","[""type"",""name""]"
"[""StockKeepingUnit""]","{""hasStockKeepingUnit_Description"":""\""SKU for PartsTrays that hold large gears\"""",""name"":""sku_large_gear_vessel"",""type"":""individual"",""hasStockKeepingUnit_Weight"":""\""0.200000\""""}","[""type"",""hasStockKeepingUnit_Weight"",""name"",""hasStockKeepingUnit_Description""]"
"[""PartsTray""]","{""name"":""kit_m2l1_vessel_1"",""visioncycle"":0,""type"":""individual"",""hasPartsVessel_SerialNumber"":""\""6\"""",""hasPartsTray_Complete"":""\""false\""""}","[""visioncycle"",""hasPartsTray_Complete"",""type"",""hasPartsVessel_SerialNumber"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""kit_m2l1_location_1"",""type"":""individual""}","[""type"",""name""]"
"[""PartsTray""]","{""name"":""medium_gear_vessel_1"",""visioncycle"":0,""type"":""individual"",""hasPartsVessel_SerialNumber"":""\""9\"""",""hasPartsTray_Complete"":""\""true\""""}","[""visioncycle"",""hasPartsTray_Complete"",""type"",""hasPartsVessel_SerialNumber"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""medium_gear_vessel_1_location"",""type"":""individual""}","[""type"",""name""]"
"[""Part""]","{""hasPart_SerialNumber"":""\""mg1\"""",""name"":""part_medium_gear_1"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""Part""]","{""hasPart_SerialNumber"":""\""mg3\"""",""name"":""part_medium_gear_3"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""Part""]","{""hasPart_SerialNumber"":""\""mg2\"""",""name"":""part_medium_gear_2"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""Part""]","{""hasPart_SerialNumber"":""\""mg4\"""",""name"":""part_medium_gear_4"",""visioncycle"":0,""type"":""individual""}","[""type"",""hasPart_SerialNumber"",""name"",""visioncycle""]"
"[""PartsTrayDesign""]","{""name"":""part_medium_gear_vessel_design"",""type"":""individual""}","[""type"",""name""]"
"[""StockKeepingUnit""]","{""hasStockKeepingUnit_Description"":""\""SKU for PartsTrays that hold medium gears\"""",""name"":""sku_medium_gear_vessel"",""type"":""individual"",""hasStockKeepingUnit_Weight"":""\""0.200000\""""}","[""type"",""hasStockKeepingUnit_Weight"",""name"",""hasStockKeepingUnit_Description""]"
"[""Class""]","{""name"":""LargeBoxWithEmptyVessels""}","[""name""]"
"[""Class""]","{""name"":""EndEffectorChangingStation""}","[""name""]"
"[""Class""]","{""name"":""OtherGripperGrasp""}","[""name""]"
"[""Class""]","{""name"":""WorkTable""}","[""name""]"
"[""Class""]","{""name"":""PhysicalLocation""}","[""name""]"
"[""Class""]","{""name"":""MarkingModel""}","[""name""]"
"[""Class""]","{""name"":""PoseTolerance""}","[""name""]"
"[""Class""]","{""name"":""Point""}","[""name""]"
"[""Class""]","{""name"":""MechanicalComponent""}","[""name""]"
"[""Class""]","{""name"":""BoxyShape""}","[""name""]"
"[""BoxyShape""]","{""hasBoxyShape_Width"":""\""0.110000\"""",""hasBoxyShape_Length"":""\""0.110000\"""",""hasBoxyShape_Height"":""\""0.020000\"""",""hasBoxyShape_HasTop"":""\""false\"""",""name"":""shape_medium_gear_parts_tray"",""type"":""individual"",""hasShapeDesign_Description"":""\""Shape of PartsTrays for small gears\""""}","[""hasBoxyShape_Length"",""hasBoxyShape_Height"",""hasBoxyShape_HasTop"",""type"",""hasBoxyShape_Width"",""name"",""hasShapeDesign_Description""]"
